URL, Price, Title, Author, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition,,,,
https://www.flipkart.com/harrison-s-principles-internal-medicine-20th-2018-volume-1-2-jameson/p/itmfa6wgfcw6ysfg?pid=9781259834806&lid=LSTBOK9781259834806OPFWGS&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=10a47674-09fe-4f22-8b97-bcc10cb3c34e.9781259834806.SEARCH,Rs: 8100, Harrison's Principles of Internal Medicine 20th Edition 2018 (Volume 1 & 2) by Jameson,  Jameson,English,Hardcover,Mcgraw-Hill,MEDICINE BOOKS,1259834808,9.78126E+12, ,20- 2018, ,,,
https://www.flipkart.com/quantitative-aptitude-competitive-examinations/p/itmer8s9qvpyzh5s?pid=9789352534029&lid=LSTBOK97893525340291ACAJ3&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=049f5410-aa9c-499a-ac85-7cc2e26e7f20.9789352534029.SEARCH,Rs: 427, Quantitative Aptitude for Competitive Examinations,  Aggarwal R. S.,English,Paperback,Schand,Education,9352534026,9.78935E+12, , , ,,,
https://www.flipkart.com/indian-polity-5/p/itmf7tkbfg8kw4fx?pid=9789352603633&lid=LSTBOK9789352603633EYJGUV&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=edc4d757-1b51-4426-b8cb-5dcb6db615c4.9789352603633.SEARCH,Rs: 540, Indian Polity 5 Edition,  M. Laxmikanth,English,Paper back,Mcgrawhill,Academic & Test Preparation, 935260363X,9.78935E+12,850,May-16, ,,,
https://www.flipkart.com/dharmayoddha-kalki-avatar-vishnu-book-1/p/itmf3xzf7kw5c447?pid=9788193503300&lid=LSTBOK9788193503300CRYKEK&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=en_nkDk9trJfNqiHi69eFoihivUTlQwJBDASTma3ELffWr9w%2FRHQHWdIh9giw8uDMw5,Rs: 188, Dharmayoddha Kalki - Avatar of Vishnu Book 1,  Kevin Missal,English,Paperback,Fingerprint Publishing,Fiction,8193503309,9.78819E+12,464, , ,,,
https://www.flipkart.com/prepare-quantitative-aptitude-cat/p/itmf54pfj9phzpzr?pid=9789353160180&lid=LSTBOK9789353160180J7EYG3&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=52d5e439-24a1-4591-98ce-2f625924b9b4.9789353160180.SEARCH,Rs: 438, How to Prepare for Quantitative Aptitude for the CAT,  Sharma Arun,English,Paperback,Mcgrawhill,Education,9353160189,9.78935E+12, , , ,,,
https://www.flipkart.com/manorama-yearbook-2019-first/p/itmfbefh9xkzfmgu?pid=9788193769713&lid=LSTBOK9788193769713XZJQBQ&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=d4a61298-9b1a-4d8f-ad7a-bea5e43c00d4.9788193769713.SEARCH,Rs: 228, Manorama Yearbook 2019 First Edition,  Tushar A. Gandhi' and  ' Shashi Tharoor' and  ' Paranjoy Guha Thakurta' and  ' Avik Sarkar,English,Paperback,Malayala Manorama,Entrance Exams Preparation,8193769716,9.78819E+12, ,First- 2018, ,,,
https://www.flipkart.com/all-one-english-core-cbse-class-12th/p/itmf3dureep7cdrx?pid=9789312149034&lid=LSTBOK9789312149034O1Q6X3&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=c59595ea-e2cf-45f1-ba5b-672f33640040.9789312149034.SEARCH,Rs: 228, All in One English Core Cbse Class 12th,  unknown,English,Paperback,Arihant,Education,9312149032,9.78931E+12,567, , ,,,
https://www.flipkart.com/circuits-networks-analysis-synthesis-5th/p/itmevd3tfyecf2jy?pid=9789339219604&lid=LSTBOK9789339219604AHW1ZR&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=c40e7d6b-c171-4e3a-9356-d8cba080bda3.9789339219604.SEARCH,Rs: 357, Circuits and Networks: Analysis and Synthesis 5th  Edition,  A Sudhakar' and  ' Shyammohan S Palli,English,Paperback,Mcgrawhill, ,9339219600,9.78934E+12,960,5th Edition- 2015, ,,,
https://www.flipkart.com/theory-of-machines/p/itmevd3uthhdv3td?pid=9789351343479&lid=LSTBOK97893513434797ZDKJS&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=9f2698c9-10be-4cd0-9781-08a47fb34b69.9789351343479.SEARCH,Rs: 459, Theory of Machines,  Rattan S,English,Paperback,Mcgrawhill,Technology & Engineering,9351343472,9.78935E+12,816, , ,,,
https://www.flipkart.com/5-am-club-own-your-morning-elevate-life/p/itmf9z65he3wkmwj?pid=9789387944893&lid=LSTBOK9789387944893W191HT&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=e5949d86-e0b5-442a-bb35-53ce562266cc.9789387944893.SEARCH,Rs: 199, The 5 AM Club : Own Your Morning- Elevate Your Life,  ROBIN SHARMA,English,Paperback,Jaico,Self Help,9387944891,9.78939E+12,336,Jan-18, ,,,
https://www.flipkart.com/think-grow-rich-magic-formula-success-wealth-wisdom/p/itmfffmuymbzdgzg?pid=9780143442950&lid=LSTBOK9780143442950LQHU2J&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=2aeef6a7-2d9a-4e20-a39b-e7578177a00f.9780143442950.SEARCH,Rs: 66, Think & Grow Rich - Magic Formula for Success- Wealth and Wisdom,  Napolean Hill,English,Paperback,PRH INDIA LOCAL PRINT,Self-Help,143442953,9.78014E+12,272,2018, ,,,
https://www.flipkart.com/concepts-physics-2-1st/p/itmdyufkhyhuhcda?pid=9788177092325&lid=LSTBOK97881770923251RWXGH&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=a1096915-7c76-4011-a85c-991cce5ce058.9788177092325.SEARCH,Rs: 240, Concepts of Physics 2 1st  Edition,  Verma H C,English,Paperback,Bharthi Bhawan, ,8177092324,9.78818E+12, ,1st Edition- 2014, ,,,
https://www.flipkart.com/higher-engineering-mathematics-math/p/itmew567zqsezv2v?pid=9788193328491&lid=LSTBOK9788193328491FSCZHP&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=1426d58f-27d3-4378-af3e-967578663c24.9788193328491.SEARCH,Rs: 587, Higher Engineering Mathematics - math,  unknown,English,Paperback,SCHAND,Education,8193328493,9.78819E+12, , , ,,,
https://www.flipkart.com/diary-young-girl/p/itmfbug4pey2us82?pid=9788172345198&lid=LSTBOK9788172345198CTT30X&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=en_nkDk9trJfNqiHi69eFoihivUTlQwJBDASTma3ELffWoMUMNOHFGPqC6sKSSCEuuX,Rs: 143, The Diary Of A Young Girl,  Anne Frank,English,Paperback,FINGERPRINT,Literature & Fiction,8172345194,9.78817E+12, ,2014, ,,,
https://www.flipkart.com/internal-combustion-engines/p/itmevd3t5m8zc4yk?pid=9781259006197&lid=LSTBOK9781259006197AMQS3F&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=b3c60d15-ce30-4722-a32b-deb392734dba.9781259006197.SEARCH,Rs: 369, Internal Combustion Engines,  Ganesan V.,English,Paperback,Mcgrawhill,Technology & Engineering,1259006190,9.78126E+12,768, , ,,,
https://www.flipkart.com/organic-chemistry/p/itmfbumfgxuqkhu9?pid=9780198728719&lid=LSTBOK978019872871996VQO9&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=82500efd-3fac-4cf2-8994-717cf7282850.9780198728719.SEARCH,Rs: 1882, Organic Chemistry,  Clayden Jonathan,English,Paperback,SCHAND,Science,198728719,9.7802E+12,1264, , ,,,
https://www.flipkart.com/strengthsfinder-2-0/p/itmfc3waucakt96f?pid=9781595620156&lid=LSTBOK9781595620156JOTKUE&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=e3b63d0d-5358-4570-8fd7-8a120b02eb1f.9781595620156.SEARCH,Rs: 866, StrengthsFinder 2.0,  Rath Tom,English,Hardcover,Simon,Business & Economics, 159562015X,9.7816E+12,192, , ,,,
https://www.flipkart.com/an-introduction-to-mechanics/p/itmevd3tfuzf3car?pid=9780070647787&lid=LSTBOK9780070647787OCKBQS&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=b50e78eb-d551-42ae-b08c-dc2358586cca.9780070647787.SEARCH,Rs: 412, AN Introduction to Mechanics,  Kleppner David,English,Paperback,Mcgrawhill,Reference, 007064778X,9.78007E+12,572, , ,,,
