,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
0,Teach Your Child to Read in 100 Easy Lessons,by Phyllis Haddox,4.3,14.0,0671631985,1.0
1,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
3,100 Words Kids Need to Read by 1st Grade,by Terry Cooper,4.6,3.0,0439399297,261.0
4,100 Fun Stories for 4-8 Year Olds (Perfect for Bedtime & Young Readers) (Yellow...,by Sharlene Alexander,2.9,10.0,B005TA81BG,193.0
5,All the Light we Cannot See,by Anthony Doerr,4.5,193.0,0008172420,311.0
6,The Catcher in the Rye,by J. D. Salinger,3.6,363.0,0241950422,236.0
7,Sidney Sheldon's The Silent Widow,by Sidney Sheldon,3.8,39.0,0008229635,230.0
9,The Ice Monster,by David Walliams,5.0,1.0,0008324050,248.0
10,Flawed (Flawed 1),by Cecelia Ahern,4.4,87.0,0008125120,207.0
11,Tell Me your Dreams,by Sidney Sheldon,4.4,160.0,8172234902,209.0
12,P.S. I Love You,by Cecelia Ahern,4.4,176.0,0007270100,217.0
13,Perfect (Flawed 2),by Cecelia Ahern,4.5,70.0,0008125163,196.0
15,Gangsta Granny,by David Walliams,4.4,29.0,0007516738,200.0
16,The Accidental Further Adventures of the Hundred-Year-Old Man,by Jonas Jonasson,4.0,8.0,0008275572,240.0
17,Roar,by Cecelia Ahern,4.5,4.0,0008324212,319.0
19,The World’s Worst Children - 2,by David Walliams,5.0,6.0,0008259674,389.0
20,100 Things to Do Before You Grow Up,by Lisa Gerry,4.4,7.0,1426315589,569.0
21,Number the Stars (Collins Modern Classics),by Lois Lowry,4.5,19.0,0007395205,240.0
22,Guilt: The Sunday Times bestseller that you need to read this year,by Amanda Robson - Import,4.0,1.0,0008212244,359.0
24,The World's Worst Children,by David Walliams,4.9,15.0,0008197040,389.0
25,100 Ways to Improve Your Writing: Proven Professional Techniques for Writing...,by Gary Provost,2.0,1.0,0451627210,974.0
26,The World’s Worst Children 3,by David Walliams,4.6,3.0,0008304602,486.0
27,Ark Angel (Alex Rider Book 6),by Anthony Horowitz,4.7,5.0,B00UN2XXJU,133.0
28,The Other Woman,by Daniel Silva,3.9,14.0,000831859X,235.0
29,The Tiger Who Came to Tea,by Judith Kerr - Special Edition,4.5,52.0,0007215991,315.0
30,The Thing Around your Neck,by Chimamanda Ngozi Adichie,4.6,11.0,0007306210,223.0
31,Stalker (Joona Linna),by Lars Kepler,4.4,38.0,0007467850,214.0
32,Dune,by Frank Herbert,4.2,44.0,B00B7NPRY8,316.0
33,The Girl Who Saved the King of Sweden,by Jonas Jonasson,4.2,13.0,0007557906,299.0
34,The Boy in the Striped Pyjamas (Definitions),by John Boyne,4.6,134.0,1862305277,350.0
35,If You Could See Me Now,by Cecelia Ahern,4.4,122.0,0007300824,225.0
36,Born to Run (Collector's Edition),by Michael Morpurgo,4.3,4.0,0007230591,193.0
37,Short O Sentences: Practice Reading Phonics Vowel Sounds with 100% Sight Words...,by Chris DiPaolo,1.0,1.0,B00OIQVNP8,57.0
38,The Chronicles of Narnia,by C.S. Lewis,4.3,85.0,0007421672,540.0
39,Bad Dad,by David Walliams,4.7,16.0,0008164665,350.0
40,On Time: Finding Your Pace in a World Addicted to Fast,by Catherine Blyth,1.0,1.0,0008225559,359.0
41,100 Books You Must Read Before You Die - volume 1 [newly updated] [The Great...,by Lewis Carroll,3.0,2.0,B06XCQLM53,42.0
42,"Best of Agatha Christie Box Set (And Then There Were None, Murder on the Orient...",by Agatha Christie,4.7,35.0,0008281513,309.0
43,Stormbreaker (Alex Rider),by Anthony Horowitz,4.3,22.0,1406360198,324.0
44,Brain Bogglers: Over 100 Games and Puzzles to Reveal the Mysteries of Your Mind...,by Stephanie Warren Drimmer,5.0,3.0,1426324235,1.0
45,Vox,by Christina Dalcher,4.3,4.0,0008322090,370.0
46,The Shack,by William P. Young,4.2,16.0,0964729237,633.0
48,All She Ever Wished For,by Claudia Carroll,4.4,19.0,0008140731,250.0
49,Awful Auntie,by David Walliams,4.8,9.0,0008114943,319.0
50,The Silent Corner (Jane Hawk Thriller),by Dean Koontz,4.6,3.0,0007518072,389.0
51,"Goodnight, Goodnight Construction Site",by Tom Lichtenheld,5.0,8.0,0811877825,970.0
52,Moonlight Over Manhattan,by Sarah Morgan,4.4,3.0,1848456670,251.0
53,1000 Useful Words (Dk),by DK,5.0,1.0,0241319536,340.0
54,Long Walk to Freedom: The Autobiography of Nelson Mandela,by Nelson Mandela,4.3,66.0,0316323543,439.0
55,First 100 High Frequency Words: Individual Flashcards (Learn To Read (Learning...,by C.F. Crist,,,B00B87CZW0,71.0
56,Wuthering Heights (Penguin Cloth Bound Classics),by Emily Bronte,4.1,244.0,0141040351,699.0
57,Paddington Goes to Town,by Michael Bond,5.0,3.0,0006753663,185.0
58,The Lie,by C.L. Taylor - Import,3.7,19.0,0007544278,199.0
59,Aromatika Black Cumin Oil 100ml - Egyptian Black Cumin Seed Oil - Egypt - 100%...,by AROMATIKA,,,B07MNX7ZCB,2.0
60,The Wives,by Lauren Weisberger,3.5,2.0,0008316309,227.0
61,The Devil Wears Prada: Loved the movie? Read the book!,by Lauren Weisberger,4.0,15.0,B008B1BL5I,120.0
62,The Year I Met You,by Cecelia Ahern,3.8,50.0,000750179X,189.0
63,The Escape,by C.L. Taylor,4.0,24.0,0008118078,219.0
64,Charlotte's Web (Trophy Newbery),by E. B. White,4.6,96.0,B00T3DNKE8,164.0
65,The Ice Twins,by S. K. Tremayne,3.7,11.0,000745922X,210.0
66,How To Keep A Secret: A fantastic and brilliant feel-good summer read that you...,by Sarah Morgan - Import,5.0,1.0,1848457162,259.0
67,Pharaoh,by Wilbur Smith,3.5,27.0,0007535848,280.0
68,The Man Who Mistook His Wife For A Hat: And Other Clinical Tales,by Oliver Sacks,4.3,35.0,0684853949,590.0
69,100 LITTLE RHYMES for TEACHING YOUR CHILD TO READ ~~ KID-FRIENDLY KINDERGARTEN...,by Marilynn Anderson,4.5,2.0,B005S33PV0,195.0
70,Dumb Witness (Poirot),by Agatha Christie,4.3,38.0,0008129568,217.0
71,Thanks for the Memories,by Cecelia Ahern,3.9,16.0,0007233698,100.0
